fies_score,lat_dd_mod,lon_dd_mod,region,fies_average
2,11.37311,41.35439,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,9.505666,40.107473,Afar,1.6463414
4,11.545594,41.49252,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
2,11.545594,41.49252,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
1,9.381048,40.131317,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
2,9.505666,40.107473,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
2,9.505666,40.107473,Afar,1.6463414
5,11.545594,41.49252,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
0,11.545594,41.49252,Afar,1.6463414
2,11.392885,41.379,Afar,1.6463414
0,11.545594,41.49252,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
1,9.400103,40.156692,Afar,1.6463414
2,9.505666,40.107473,Afar,1.6463414
5,11.545594,41.49252,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
2,9.505666,40.107473,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,11.336364,41.468995,Afar,1.6463414
2,11.545594,41.49252,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
1,9.505666,40.107473,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
0,11.336364,41.468995,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
8,10.145421,40.683691,Afar,1.6463414
0,11.545594,41.49252,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
0,11.336364,41.468995,Afar,1.6463414
3,9.505666,40.107473,Afar,1.6463414
5,11.336364,41.468995,Afar,1.6463414
1,11.336364,41.468995,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
3,9.505666,40.107473,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
6,11.392885,41.379,Afar,1.6463414
0,11.392885,41.379,Afar,1.6463414
3,11.545594,41.49252,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
3,9.400103,40.156692,Afar,1.6463414
2,11.545594,41.49252,Afar,1.6463414
0,9.147427,39.938642,Afar,1.6463414
0,10.14254,40.643691,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,11.336364,41.468995,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
0,11.70753,41.146505,Afar,1.6463414
1,10.14254,40.643691,Afar,1.6463414
0,11.545594,41.49252,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
2,9.505666,40.107473,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.457419,39.893866,Afar,1.6463414
0,9.458898,40.292292,Afar,1.6463414
8,10.14254,40.643691,Afar,1.6463414
1,11.545594,41.49252,Afar,1.6463414
0,11.436085,36.645273,Amhara,1.891986
0,10.539829,39.982953,Amhara,1.891986
0,10.371701,38.344396,Amhara,1.891986
6,12.56578,37.869254,Amhara,1.891986
2,10.371701,38.344396,Amhara,1.891986
8,11.607389,38.567921,Amhara,1.891986
0,9.69788,39.540809,Amhara,1.891986
1,10.472983,37.869958,Amhara,1.891986
8,10.381357,39.72644,Amhara,1.891986
5,12.56578,37.869254,Amhara,1.891986
4,10.381357,39.72644,Amhara,1.891986
3,12.049693,37.774726,Amhara,1.891986
0,10.472983,37.869958,Amhara,1.891986
1,10.371701,38.344396,Amhara,1.891986
0,10.671101,38.030523,Amhara,1.891986
2,11.436085,36.645273,Amhara,1.891986
0,10.671101,38.030523,Amhara,1.891986
0,10.671101,38.030523,Amhara,1.891986
1,12.510711,37.464201,Amhara,1.891986
0,12.843304,36.740981,Amhara,1.891986
0,10.671101,38.030523,Amhara,1.891986
7,12.369461,37.153019,Amhara,1.891986
0,10.671101,38.030523,Amhara,1.891986
8,12.920681,37.523176,Amhara,1.891986
0,11.016366,37.77945,Amhara,1.891986
0,12.049693,37.774726,Amhara,1.891986
6,11.016366,37.77945,Amhara,1.891986
0,9.627019000000001,39.517434,Amhara,1.891986
4,10.381357,39.72644,Amhara,1.891986
7,12.369461,37.153019,Amhara,1.891986
0,11.436085,36.645273,Amhara,1.891986
0,9.69788,39.540809,Amhara,1.891986
4,10.371701,38.344396,Amhara,1.891986
0,11.531211,37.456573,Amhara,1.891986
6,10.160841,39.795439,Amhara,1.891986
0,10.160841,39.795439,Amhara,1.891986
2,10.913587,37.620848,Amhara,1.891986
0,11.562044,37.672296,Amhara,1.891986
1,10.472983,37.869958,Amhara,1.891986
0,10.539829,39.982953,Amhara,1.891986
3,10.960563,36.848758,Amhara,1.891986
2,11.439668,37.726932,Amhara,1.891986
1,11.607389,38.567921,Amhara,1.891986
2,10.160841,39.795439,Amhara,1.891986
0,11.439668,37.726932,Amhara,1.891986
5,10.472983,37.869958,Amhara,1.891986
1,11.531211,37.456573,Amhara,1.891986
3,10.960563,36.848758,Amhara,1.891986
8,10.861466,39.964559,Amhara,1.891986
1,12.510711,37.464201,Amhara,1.891986
4,10.371701,38.344396,Amhara,1.891986
2,12.510711,37.464201,Amhara,1.891986
0,11.440116,37.307145,Amhara,1.891986
4,11.607389,38.567921,Amhara,1.891986
7,12.920681,37.523176,Amhara,1.891986
1,11.800598,37.128473,Amhara,1.891986
1,12.049693,37.774726,Amhara,1.891986
0,11.800598,37.128473,Amhara,1.891986
3,12.455447,35.881709,Amhara,1.891986
5,10.913587,37.620848,Amhara,1.891986
3,12.972965,38.151818,Amhara,1.891986
5,12.972965,38.151818,Amhara,1.891986
0,11.162244,37.40731,Amhara,1.891986
1,12.972965,38.151818,Amhara,1.891986
6,12.56578,37.869254,Amhara,1.891986
0,9.69788,39.540809,Amhara,1.891986
4,12.631525,37.453414,Amhara,1.891986
2,12.920681,37.523176,Amhara,1.891986
2,12.631525,37.453414,Amhara,1.891986
4,12.510711,37.464201,Amhara,1.891986
0,11.162244,37.40731,Amhara,1.891986
0,12.631525,37.453414,Amhara,1.891986
1,10.412121,37.051153,Amhara,1.891986
4,10.539829,39.982953,Amhara,1.891986
5,12.972965,38.151818,Amhara,1.891986
1,11.531211,37.456573,Amhara,1.891986
0,11.607389,38.567921,Amhara,1.891986
0,12.049693,37.774726,Amhara,1.891986
2,10.960563,36.848758,Amhara,1.891986
2,10.913587,37.620848,Amhara,1.891986
0,11.439668,37.726932,Amhara,1.891986
3,10.381357,39.72644,Amhara,1.891986
0,9.69788,39.540809,Amhara,1.891986
7,12.920681,37.523176,Amhara,1.891986
4,10.160841,39.795439,Amhara,1.891986
2,12.920681,37.523176,Amhara,1.891986
6,10.381357,39.72644,Amhara,1.891986
2,12.049693,37.774726,Amhara,1.891986
2,12.049693,37.774726,Amhara,1.891986
0,11.162244,37.40731,Amhara,1.891986
0,10.371701,38.344396,Amhara,1.891986
1,12.049693,37.774726,Amhara,1.891986
1,12.510711,37.464201,Amhara,1.891986
0,10.412121,37.051153,Amhara,1.891986
1,10.539829,39.982953,Amhara,1.891986
0,11.440116,37.307145,Amhara,1.891986
1,10.412121,37.051153,Amhara,1.891986
2,10.960563,36.848758,Amhara,1.891986
1,12.56578,37.869254,Amhara,1.891986
