	(1)	(2)	(3)	(4)
VARIABLES	FI	FI	Sev FI	Sev FI
				
sfi	-0.021	-0.019	-0.075**	-0.075**
	(0.056)	(0.056)	(0.038)	(0.038)
age	0.001*	0.001*	0.001	0.001
	(0.001)	(0.001)	(0.000)	(0.000)
basic_educ	-0.054**	-0.053**	-0.005	-0.004
	(0.025)	(0.025)	(0.017)	(0.017)
male_head	0.011	0.035	-0.040*	-0.023
	(0.034)	(0.039)	(0.021)	(0.024)
dependency_ratio	0.050***	0.049***	0.007	0.007
	(0.011)	(0.011)	(0.008)	(0.007)
non_farm_enterprise	-0.048	-0.049	0.047*	0.047*
	(0.041)	(0.041)	(0.028)	(0.027)
wealth_index	-0.052***	-0.052***	-0.057***	-0.058***
	(0.019)	(0.019)	(0.014)	(0.014)
sole_female_ownership		-0.010		-0.006
		(0.044)		(0.027)
joint_ownership		-0.063**		-0.048**
		(0.025)		(0.020)
soil_fertility	-0.017	-0.018	0.009	0.008
	(0.018)	(0.018)	(0.011)	(0.011)
drought_shock	0.192***	0.192***	0.140***	0.140***
	(0.029)	(0.029)	(0.016)	(0.016)
married	-0.027	-0.023	0.012	0.016
	(0.035)	(0.036)	(0.023)	(0.023)
total_land	-0.075***	-0.074***	-0.034**	-0.032**
	(0.015)	(0.015)	(0.014)	(0.014)
livestock_hh	-0.098**	-0.100**	-0.061**	-0.064**
	(0.045)	(0.045)	(0.030)	(0.030)
3.saq01	0.169***	0.167***	0.027	0.027
	(0.052)	(0.052)	(0.034)	(0.033)
4.saq01	0.394***	0.392***	0.217***	0.216***
	(0.050)	(0.050)	(0.034)	(0.034)
5.saq01	0.008	0.008	-0.044*	-0.044*
	(0.046)	(0.046)	(0.024)	(0.023)
6.saq01	0.146**	0.144**	0.018	0.017
	(0.065)	(0.065)	(0.047)	(0.046)
7.saq01	0.319***	0.319***	0.128***	0.128***
	(0.050)	(0.050)	(0.033)	(0.032)
12.saq01	0.098*	0.100*	-0.052*	-0.050*
	(0.055)	(0.055)	(0.029)	(0.029)
13.saq01	-0.008	-0.009	-0.044	-0.043
	(0.052)	(0.052)	(0.030)	(0.030)
15.saq01	0.109**	0.108**	-0.026	-0.027
	(0.054)	(0.054)	(0.031)	(0.031)
female_landowner	-0.052**		-0.037**	
	(0.024)		(0.017)	
				
Observations	1,826	1,826	1,826	1,826
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
