	(1)	(2)	(3)	(4)
VARIABLES	FI	FI	Sev FI	Sev FI
				
sfi	-0.107	-0.098	-0.813**	-0.814**
	(0.287)	(0.287)	(0.410)	(0.411)
age	0.007*	0.007*	0.008	0.008
	(0.004)	(0.004)	(0.005)	(0.005)
basic_educ	-0.274**	-0.272**	-0.055	-0.046
	(0.127)	(0.127)	(0.186)	(0.187)
male_head	0.059	0.182	-0.435*	-0.245
	(0.174)	(0.203)	(0.230)	(0.263)
dependency_ratio	0.255***	0.253***	0.078	0.074
	(0.057)	(0.057)	(0.081)	(0.081)
non_farm_enterprise	-0.247	-0.253	0.510*	0.505*
	(0.211)	(0.211)	(0.299)	(0.296)
wealth_index	-0.268***	-0.267***	-0.620***	-0.627***
	(0.098)	(0.098)	(0.151)	(0.153)
sole_female_ownership		-0.054		-0.065
		(0.226)		(0.288)
joint_ownership		-0.322**		-0.524**
		(0.131)		(0.214)
soil_fertility	-0.090	-0.092	0.098	0.090
	(0.092)	(0.092)	(0.122)	(0.122)
drought_shock	0.986***	0.987***	1.514***	1.521***
	(0.155)	(0.155)	(0.189)	(0.190)
married	-0.141	-0.119	0.128	0.170
	(0.182)	(0.182)	(0.247)	(0.248)
total_land	-0.386***	-0.380***	-0.365**	-0.349**
	(0.080)	(0.080)	(0.153)	(0.153)
livestock_hh	-0.501**	-0.514**	-0.665**	-0.695**
	(0.233)	(0.232)	(0.321)	(0.322)
3.saq01	1.049***	1.039***	0.373	0.374
	(0.377)	(0.376)	(0.471)	(0.469)
4.saq01	2.133***	2.124***	1.961***	1.964***
	(0.368)	(0.368)	(0.420)	(0.418)
5.saq01	0.065	0.064	-0.880**	-0.886**
	(0.359)	(0.358)	(0.412)	(0.410)
6.saq01	0.929**	0.913**	0.250	0.240
	(0.432)	(0.432)	(0.647)	(0.648)
7.saq01	1.781***	1.777***	1.341***	1.352***
	(0.367)	(0.367)	(0.429)	(0.428)
12.saq01	0.658*	0.670*	-1.121	-1.081
	(0.389)	(0.389)	(0.692)	(0.690)
13.saq01	-0.068	-0.071	-0.885	-0.864
	(0.414)	(0.413)	(0.616)	(0.614)
15.saq01	0.723*	0.716*	-0.467	-0.478
	(0.385)	(0.385)	(0.549)	(0.547)
female_landowner	-0.264**		-0.399**	
	(0.122)		(0.187)	
Constant	-1.222***	-1.338***	-2.288***	-2.456***
	(0.424)	(0.435)	(0.528)	(0.537)
				
Observations	1,826	1,826	1,826	1,826
Robust standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
