"block","outcome","spec","term","estimate","se","p","star"
"paper","FIES score","A","female_landowner",-0.244893641234222,0.129637992983781,0.0588841054880965,"*"
"paper","FIES score","B","sole_female_ownership",-0.0120328254316827,0.259906529865278,0.963073736419355,""
"paper","FIES score","B","joint_ownership",-0.303355866929955,0.134925249940808,0.0245554480371673,"**"
"paper","FIES score","B","Wald sole=joint",0.291323041498272,0.265175482663032,0.271940510436043,""
"paper","Mod/sev FI logit","A","female_landowner",-0.26434390889502,0.121711618747452,0.0298641709128369,"**"
"paper","Mod/sev FI AME","A","AME:female_landowner",-0.051594740945579,0.0236587238696192,0.0291988508490085,"**"
"paper","Mod/sev FI logit","B","sole_female_ownership",-0.0535946327700139,0.225667359328407,0.812273611420159,""
"paper","Mod/sev FI logit","B","joint_ownership",-0.321913345331635,0.131415068272324,0.0143018031205272,"**"
"paper","Mod/sev FI AME","B","AME:sole_female_ownership",-0.0104032041700346,0.0435989725554285,0.811407061655982,""
"paper","Mod/sev FI AME","B","AME:joint_ownership",-0.0624267674476148,0.0252145187863753,0.013292825151336,"**"
"paper","Mod/sev FI logit","B","Wald sole=joint",0.268318712561621,0.238768317719881,0.261114094527492,""
"paper","Severe FI logit","A","female_landowner",-0.398833993692933,0.187196373664467,0.0331250167730012,"**"
"paper","Severe FI AME","A","AME:female_landowner",-0.0367682681772468,0.0171357999593554,0.0318970041011282,"**"
"paper","Severe FI logit","B","sole_female_ownership",-0.0649245691126339,0.288090554806058,0.821697926046494,""
"paper","Severe FI logit","B","joint_ownership",-0.523853738598578,0.21350954938571,0.0141458692358665,"**"
"paper","Severe FI AME","B","AME:sole_female_ownership",-0.00591601652807734,0.0259300797558798,0.819527566961502,""
"paper","Severe FI AME","B","AME:joint_ownership",-0.0460084124554199,0.0177020683925524,0.00934844388727969,"***"
"paper","Severe FI logit","B","Wald sole=joint",0.458929169485944,0.31693637934793,0.147612380723351,""
"survey","FIES score","A","female_landowner",-0.488432357795659,0.297293332408349,0.100397261808366,""
"survey","FIES score","B","sole_female_ownership",-0.310077641438198,0.478702301190416,0.517149056791148,""
"survey","FIES score","B","joint_ownership",-0.516166582425873,0.303440210930996,0.0889338389782936,"*"
"survey","FIES score","B","Wald sole=joint",0.206088940987675,0.440682684626956,0.640028924163843,""
"survey","Mod/sev FI logit","A","female_landowner",-0.342238355177846,0.246014425369243,0.164185630062505,""
"survey","Mod/sev FI AME","A","AME:female_landowner",-0.0737885985415567,0.0528148605037218,0.162378054138565,""
"survey","Mod/sev FI logit","B","sole_female_ownership",-0.323488104145984,0.420529170876244,0.441750503177754,""
"survey","Mod/sev FI logit","B","joint_ownership",-0.345043508219014,0.249113558627496,0.16602641063133,""
"survey","Mod/sev FI AME","B","AME:sole_female_ownership",-0.0679954137211212,0.0859285772379519,0.428768062054573,""
"survey","Mod/sev FI AME","B","AME:joint_ownership",-0.0743753915648395,0.0534895128698114,0.164387175400488,""
"survey","Mod/sev FI logit","B","Wald sole=joint",0.0215554040730296,0.382365338888787,0.955043993050807,""
"survey","Severe FI logit","A","female_landowner",-0.466364462025527,0.281462478177533,0.0975330261948252,"*"
"survey","Severe FI AME","A","AME:female_landowner",-0.0563706760858041,0.0350737558087194,0.108009653291259,""
"survey","Severe FI logit","B","sole_female_ownership",0.0645301775076747,0.411131464239548,0.87527832241795,""
"survey","Severe FI logit","B","joint_ownership",-0.591464894695748,0.311599870549582,0.057675648802091,"*"
"survey","Severe FI AME","B","AME:sole_female_ownership",0.00772907577802218,0.0498166085755208,0.876702606836373,""
"survey","Severe FI AME","B","AME:joint_ownership",-0.0683462109075696,0.0358312445000421,0.056462688049949,"*"
"survey","Severe FI logit","B","Wald sole=joint",0.655995072203423,0.440730430299638,0.13663832049887,""
